,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,mar del plata,,,,,,,,
1,kapaa,,,,,,,,
2,tasiilaq,,,,,,,,
3,taltal,,,,,,,,
4,port alfred,,,,,,,,
5,hermanus,,,,,,,,
6,ternate,,,,,,,,
7,hovd,,,,,,,,
8,rikitea,,,,,,,,
9,dingle,,,,,,,,
10,roald,,,,,,,,
11,nara,,,,,,,,
12,hobart,,,,,,,,
13,longyearbyen,,,,,,,,
14,provideniya,,,,,,,,
15,barentsburg,,,,,,,,
16,tias,,,,,,,,
17,nanortalik,,,,,,,,
18,bluff,,,,,,,,
19,east london,,,,,,,,
20,rio branco,,,,,,,,
21,dikson,,,,,,,,
22,bredasdorp,,,,,,,,
23,mataura,,,,,,,,
24,butaritari,,,,,,,,
25,evensk,,,,,,,,
26,honningsvag,,,,,,,,
27,puntarenas,,,,,,,,
28,ribeira grande,,,,,,,,
29,juneau,,,,,,,,
30,phangnga,,,,,,,,
31,saint george,,,,,,,,
32,namatanai,,,,,,,,
33,ushuaia,,,,,,,,
34,yellowknife,,,,,,,,
35,beboto,,,,,,,,
36,beringovskiy,,,,,,,,
37,puerto ayora,,,,,,,,
38,ketchikan,,,,,,,,
39,talnakh,,,,,,,,
40,lata,,,,,,,,
41,albany,,,,,,,,
42,bambous virieux,,,,,,,,
43,ossora,,,,,,,,
44,fazalpur,,,,,,,,
45,qaanaaq,,,,,,,,
46,taolanaro,,,,,,,,
47,kirakira,,,,,,,,
48,faanui,,,,,,,,
49,nikolskoye,,,,,,,,
50,qasigiannguit,,,,,,,,
51,hami,,,,,,,,
52,vizimyary,,,,,,,,
53,ormond beach,,,,,,,,
54,punta arenas,,,,,,,,
55,coihaique,,,,,,,,
56,busselton,,,,,,,,
57,myaundzha,,,,,,,,
58,husavik,,,,,,,,
59,chifeng,,,,,,,,
60,hilo,,,,,,,,
61,lompoc,,,,,,,,
62,belushya guba,,,,,,,,
63,bengkulu,,,,,,,,
64,vaini,,,,,,,,
65,san carlos de bariloche,,,,,,,,
66,noumea,,,,,,,,
67,arraial do cabo,,,,,,,,
68,pelotas,,,,,,,,
69,lebu,,,,,,,,
70,tabiauea,,,,,,,,
71,huejucar,,,,,,,,
72,touros,,,,,,,,
73,alice springs,,,,,,,,
74,auki,,,,,,,,
75,victoria,,,,,,,,
76,kahului,,,,,,,,
77,thompson,,,,,,,,
78,pisco,,,,,,,,
79,kidal,,,,,,,,
80,mocuba,,,,,,,,
81,sao filipe,,,,,,,,
82,cabo san lucas,,,,,,,,
83,egvekinot,,,,,,,,
84,cape town,,,,,,,,
85,cidreira,,,,,,,,
86,hobyo,,,,,,,,
87,castro,,,,,,,,
88,kaitangata,,,,,,,,
89,gorontalo,,,,,,,,
90,lasa,,,,,,,,
91,los llanos de aridane,,,,,,,,
92,hithadhoo,,,,,,,,
93,pevek,,,,,,,,
94,sauce,,,,,,,,
95,tiksi,,,,,,,,
96,nizhneyansk,,,,,,,,
97,oranjemund,,,,,,,,
98,torbay,,,,,,,,
99,port macquarie,,,,,,,,
100,tsihombe,,,,,,,,
101,chulakivka,,,,,,,,
102,fortuna,,,,,,,,
103,honiara,,,,,,,,
104,atuona,,,,,,,,
105,jamestown,,,,,,,,
106,marcona,,,,,,,,
107,pedernales,,,,,,,,
108,vallenar,,,,,,,,
109,grand bank,,,,,,,,
110,kavieng,,,,,,,,
111,rio grande,,,,,,,,
112,ilulissat,,,,,,,,
113,grand river south east,,,,,,,,
114,souillac,,,,,,,,
115,avarua,,,,,,,,
116,kiama,,,,,,,,
117,saldanha,,,,,,,,
118,alugan,,,,,,,,
119,atar,,,,,,,,
120,coquimbo,,,,,,,,
121,jiuquan,,,,,,,,
122,sidney,,,,,,,,
123,vitim,,,,,,,,
124,airai,,,,,,,,
125,geraldton,,,,,,,,
126,anju,,,,,,,,
127,sukhumi,,,,,,,,
128,aksay,,,,,,,,
129,flin flon,,,,,,,,
130,ko samui,,,,,,,,
131,kaeo,,,,,,,,
132,trinidad,,,,,,,,
133,tuatapere,,,,,,,,
134,saskylakh,,,,,,,,
135,buchanan,,,,,,,,
136,saulkrasti,,,,,,,,
137,hualmay,,,,,,,,
138,meadow lake,,,,,,,,
139,saint-joseph,,,,,,,,
140,baykit,,,,,,,,
141,luxor,,,,,,,,
142,boca do acre,,,,,,,,
143,khatanga,,,,,,,,
144,adrar,,,,,,,,
145,chuy,,,,,,,,
146,hofn,,,,,,,,
147,hasaki,,,,,,,,
148,gat,,,,,,,,
149,carnarvon,,,,,,,,
150,banda aceh,,,,,,,,
151,springbok,,,,,,,,
152,hamilton,,,,,,,,
153,bousso,,,,,,,,
154,yoichi,,,,,,,,
155,pontian kecil,,,,,,,,
156,maniitsoq,,,,,,,,
157,leesburg,,,,,,,,
158,chokurdakh,,,,,,,,
159,yar-sale,,,,,,,,
160,coihueco,,,,,,,,
161,barrow,,,,,,,,
162,port elizabeth,,,,,,,,
163,nipawin,,,,,,,,
164,nizwa,,,,,,,,
165,villarrica,,,,,,,,
166,upernavik,,,,,,,,
167,sept-iles,,,,,,,,
168,noyabrsk,,,,,,,,
169,beloha,,,,,,,,
170,saint-philippe,,,,,,,,
171,olafsvik,,,,,,,,
172,sakakah,,,,,,,,
173,xuddur,,,,,,,,
174,laives,,,,,,,,
175,jalu,,,,,,,,
176,kruisfontein,,,,,,,,
177,brae,,,,,,,,
